,Seq1,Vec,SOX9_g1,SOX9_g2,SOX9_g3,SOX9_g4,SOX9_g5,SOX9_g6,PROM1_g1,PROM1_g2,PROM1_g3,PROM1_g4,PROM1_g5,PROM1_g6,KRT20_g1,KRT20_g2,KRT20_g3,KRT20_g4,KRT20_g5,KRT20_g6,LRIG1_g1,LRIG1_g2,LRIG1_g3,LRIG1_g4,LRIG1_g5,LRIG1_g6,CTRL0001_g1,CTRL0002_g2,CTRL0003_g3,CTRL0004_g4,CTRL0005_g5,CTRL0006_g6,CTRL0007_g7,CTRL0008_g8,CTRL0009_g9,CTRL0010_g10,ROSA26_g1,ROSA26_g2,ROSA26_g3,ROSA26_g4,ROSA26_g5,ROSA26_g6,ROSA26_g7,ROSA26_g8,ROSA26_g9,ROSA26_g10,CCR5_g1,CCR5_g2,CCR5_g3,CCR5_g4,CCR5_g5,CCR5_g6,CCR5_g7,CCR5_g8,CCR5_g9,CCR5_g10,AAVS1_g1,AAVS1_g2,AAVS1_g3,AAVS1_g4,AAVS1_g5,AAVS1_g6,AAVS1_g7,AAVS1_g8,AAVS1_g9,AAVS1_g10,EGFP_g1,EGFP_g2,EGFP_g3,EGFP_g4,EGFP_g5,EGFP_g6,mKate2_g1,mKate2_g2,mKate2_g3,mKate2_g4,mKate2_g5,mKate2_g6
20210204_MNSC506_SS8614_S6_R1_001_F1,0,141783,1403,1017,579,626,1593,1689,853,1204,816,1382,847,1954,288,279,255,144,481,219,992,532,612,940,1638,567,743,607,2124,351,745,1478,854,829,740,1170,2663,1101,1248,864,741,1199,1049,665,339,891,586,1061,627,465,630,697,1224,777,528,789,1015,902,749,455,781,318,595,1399,300,391,306,368,204,166,291,481,1046,1253,1244,821,971,1681
20210204_MNSC506_SS8614_S6_R1_001_F2,347,154922,2318,2075,801,1131,2489,2061,1558,2745,1388,2295,1290,3280,1167,1676,1516,743,2452,1050,1798,990,1285,2101,3097,943,1594,1577,4929,903,1636,2566,1853,1853,1630,2661,4828,2294,1999,1703,1292,2405,1836,1499,585,1433,1086,2074,1142,728,1363,1114,2701,1661,888,1409,1728,1844,1218,750,1379,520,1052,2090,527,934,4098,5829,3060,2472,5008,4556,1235,1422,1411,1120,1016,2469
20210204_MNSC506_SS8614_S6_R1_001_F3,0,127548,1602,1256,574,884,1819,2167,1154,1797,1109,1954,1076,2772,1209,1623,1202,642,2355,1057,1265,819,920,1428,2165,673,1008,970,3366,519,1129,2105,1257,1208,1081,1813,3769,1572,1849,1394,1116,1564,1445,1010,451,1237,825,1306,750,613,917,1015,1832,1149,642,1081,1457,1276,992,640,1055,420,825,1848,475,655,2073,2597,1485,1255,2253,2425,1559,1986,1766,1106,1409,2642
20210204_MNSC506_SS8614_S6_R1_001_F4,0,90797,1133,948,395,614,1334,1570,867,1339,742,1436,752,2008,941,1227,926,503,1750,805,974,569,590,957,1623,540,717,706,2244,450,706,1509,952,830,791,1299,2793,1188,1371,917,766,1159,1019,744,366,827,599,915,564,434,690,627,1409,799,443,733,1167,890,741,436,728,351,606,1410,314,394,1397,1912,1110,975,1599,1848,1169,1360,1265,912,1043,1876
20210204_MNSC506_SS8614_S6_R1_001_F5,0,137046,1487,1242,556,804,1691,1882,891,1362,870,1395,829,2035,291,361,281,139,536,249,836,561,628,1077,1648,598,769,657,2357,442,764,1620,907,862,771,1238,2799,1156,1411,1004,828,1274,1020,732,316,999,670,1041,576,453,654,810,1388,871,485,746,1118,993,793,464,758,346,662,1348,365,503,282,455,193,220,380,460,1179,1406,1299,887,1107,1963
20210204_MNSC506_SS8614_S6_R1_001_F6,2,240381,740,595,272,339,742,1029,618,1091,739,1219,688,1666,576,705,592,300,1157,491,769,497,544,960,1329,529,659,601,2046,374,657,1267,754,784,696,1080,2535,1102,1176,806,672,1039,862,589,251,888,410,829,407,373,551,592,1044,682,384,541,941,770,583,374,716,284,566,1156,263,409,935,1255,641,583,1158,1196,389,547,511,459,420,699
20210204_MNSC506_SS8614_S6_R1_001_F7,0,141852,1831,1405,673,998,2090,2515,1325,1879,1184,2050,1226,2836,1321,1755,1314,696,2554,1093,1255,925,975,1664,2462,907,1160,1080,3733,575,1097,2201,1405,1298,1112,1953,4434,1851,2192,1354,1233,1881,1575,1123,523,1556,932,1331,884,800,985,1048,1948,1245,812,1110,1671,1448,1095,631,1202,528,922,2064,503,744,2233,2858,1219,1385,2525,2753,1755,2230,2026,1434,1726,2946
20210204_MNSC506_SS8614_S6_R1_001_F8,0,116746,1577,1167,555,829,1810,2006,1020,1594,1062,1844,1058,2572,1223,1615,1224,659,2152,1051,1136,729,755,1395,2009,746,1028,801,3153,436,1075,1999,1149,1107,982,1659,3518,1475,1724,1287,980,1582,1333,995,443,1513,775,1258,613,601,801,866,1734,1085,625,962,1351,1200,839,596,928,479,824,1849,333,582,1917,2338,1502,1222,2109,2412,1609,2030,1798,1291,1368,2610
20210204_MNSC506_SS8614_S6_R1_001_unknown,19,31348,581,463,181,291,626,633,359,506,383,571,342,809,328,417,326,171,565,217,420,214,268,431,711,234,349,344,1049,192,340,622,366,383,352,556,1268,541,552,463,339,562,430,339,164,409,241,416,266,199,291,286,560,352,203,315,491,447,300,224,306,175,288,616,145,178,509,652,402,350,604,664,442,562,475,395,428,729
20210204_MNSC507_SS8614_S7_R1_001_F1,0,274901,1842,1194,591,890,1399,2893,3258,4969,3231,5676,3153,7798,3767,4697,3573,1886,7241,2864,3907,2369,2382,4225,6509,2314,3234,3163,9344,1751,3409,6350,3710,3403,3424,5269,11122,4692,5725,3642,3299,5311,4165,3143,1483,3613,2478,3985,2349,1785,2674,2657,5141,3221,2033,2918,4432,3657,3003,1845,3301,1321,2539,5147,1427,1877,940,933,604,626,926,1425,4056,4512,4462,3200,3260,5913
20210204_MNSC507_SS8614_S7_R1_001_F2,441,387321,4849,3642,2017,2498,4869,6534,4211,6386,4130,7191,4082,10007,2649,3160,2191,1376,4457,1834,4946,2946,3081,5224,8445,2985,3745,3662,11653,1949,4126,7749,4668,4238,3826,6388,13711,5744,6861,4966,4204,6340,5592,3456,1755,4004,3119,5112,2575,2367,3395,3605,6684,4150,2490,3741,5395,4476,3577,2178,3978,1585,2978,6860,1680,2206,6190,7255,3970,4216,7038,7797,2046,2400,2410,2681,1902,3565
20210204_MNSC507_SS8614_S7_R1_001_F3,0,263426,3141,2255,1196,1620,3326,4705,2639,4283,2773,4706,2569,6540,2938,3769,2921,1454,5369,2419,3239,1774,2068,3665,5350,1963,2531,2382,7649,1349,2681,4956,3155,2914,2540,4428,9007,3677,4175,3149,2646,3925,3289,2268,1194,2900,1915,3127,1712,1449,2140,2262,4278,2620,1610,2474,3496,2883,2257,1526,2491,1075,1932,4345,1152,1440,5586,7045,4239,3574,6290,7096,2793,3166,3020,2547,2551,4836
20210204_MNSC507_SS8614_S7_R1_001_F4,0,238601,3334,2502,1009,1710,3555,4575,2323,3539,2582,4410,2614,6053,2761,3520,2627,1422,5089,2326,2704,1607,1854,3371,4638,1786,2190,2279,6886,1262,2630,4846,2731,2633,2371,4017,8345,3607,4027,2916,2351,3542,3106,2290,1090,2753,1894,2964,1523,1353,2025,2002,3981,2391,1246,2253,3118,2691,2004,1331,2354,1053,1936,3615,915,1308,5234,6250,3712,3551,5919,6964,2707,3256,3090,2462,2603,4331
20210204_MNSC507_SS8614_S7_R1_001_F5,0,248966,1391,905,511,632,1198,2236,2559,3888,2728,4255,2235,5894,2654,3566,2665,1463,5305,2429,2960,1735,1724,3299,5190,1750,2408,2045,7289,1341,2429,5089,2899,2517,2369,3909,8237,3563,3776,3004,2679,3545,3001,2227,941,2921,1927,2736,1702,1336,1810,2094,3790,2345,1459,2330,3377,2787,1962,1374,2494,891,1842,3750,918,1519,733,793,440,496,736,1147,2903,3513,3082,2304,2645,4498
20210204_MNSC507_SS8614_S7_R1_001_F6,0,185661,1466,1060,635,737,1455,1874,1212,1801,1264,2067,1155,2859,777,1036,838,395,1499,624,1332,831,873,1739,2402,890,1143,1174,3394,568,1092,2128,1405,1295,1068,1963,4277,1776,2025,1421,1136,1976,1520,1128,475,1494,827,1407,742,710,956,1097,1901,1239,757,1054,1711,1481,1070,669,1087,504,900,2086,509,661,1911,2010,1082,1210,2004,2172,716,847,832,819,612,1174
