,Seq1,Vec,SOX9_g1,SOX9_g2,SOX9_g3,SOX9_g4,SOX9_g5,SOX9_g6,PROM1_g1,PROM1_g2,PROM1_g3,PROM1_g4,PROM1_g5,PROM1_g6,KRT20_g1,KRT20_g2,KRT20_g3,KRT20_g4,KRT20_g5,KRT20_g6,LRIG1_g1,LRIG1_g2,LRIG1_g3,LRIG1_g4,LRIG1_g5,LRIG1_g6,CTRL0001_g1,CTRL0002_g2,CTRL0003_g3,CTRL0004_g4,CTRL0005_g5,CTRL0006_g6,CTRL0007_g7,CTRL0008_g8,CTRL0009_g9,CTRL0010_g10,ROSA26_g1,ROSA26_g2,ROSA26_g3,ROSA26_g4,ROSA26_g5,ROSA26_g6,ROSA26_g7,ROSA26_g8,ROSA26_g9,ROSA26_g10,CCR5_g1,CCR5_g2,CCR5_g3,CCR5_g4,CCR5_g5,CCR5_g6,CCR5_g7,CCR5_g8,CCR5_g9,CCR5_g10,AAVS1_g1,AAVS1_g2,AAVS1_g3,AAVS1_g4,AAVS1_g5,AAVS1_g6,AAVS1_g7,AAVS1_g8,AAVS1_g9,AAVS1_g10,EGFP_g1,EGFP_g2,EGFP_g3,EGFP_g4,EGFP_g5,EGFP_g6,mKate2_g1,mKate2_g2,mKate2_g3,mKate2_g4,mKate2_g5,mKate2_g6
20210204_MNSC511_SS8614_S11_R1_001_F3,0,182764,1551,1078,1103,771,1652,2973,2281,3604,2275,3739,2123,1581,2076,2829,2044,968,3382,1672,2690,1493,1538,2902,4526,1679,2027,1878,5918,1023,2117,4058,2450,2297,2184,3400,3892,2751,3497,2719,2160,3340,2882,1976,877,2149,1523,2607,1586,1156,1586,2126,1339,2027,1371,2104,2472,2143,1824,1130,1887,855,1427,2908,940,1170,2544,3221,1934,1855,2701,3195,0,1770,1482,676,0,0
20210204_MNSC511_SS8614_S11_R1_001_F4,0,191889,1589,1216,1167,814,1688,3353,2370,3623,2317,3771,2282,1663,2112,2918,2157,1146,3608,1776,2747,1597,1621,3077,4744,1715,2052,2016,6124,980,2181,4343,2520,2256,2325,3478,4021,2906,3796,2624,2290,3413,2899,1985,875,2389,1588,2843,1711,1243,1656,2179,1347,2200,1335,2158,2614,2354,2037,1152,1976,852,1500,3166,911,1342,2762,3470,2082,1868,2943,3483,0,1823,1720,789,0,0
20210204_MNSC511_SS8614_S11_R1_001_F5,0,166201,1431,1067,950,820,1567,2840,2016,3138,2057,3353,1929,1416,1918,2462,1851,916,3262,1601,2395,1410,1290,2822,4000,1420,1731,1724,5182,971,1871,3690,2233,2013,1954,3054,3541,2282,3319,2315,1924,2874,2648,1620,864,2126,1435,2389,1422,1072,1371,1667,1250,1845,1174,1875,2310,2090,1625,1024,1600,791,1324,2622,812,1067,2403,3023,1494,1592,2512,3042,0,1712,1574,715,0,0
20210204_MNSC511_SS8614_S11_R1_001_F6,0,120552,1319,979,551,595,1367,2275,1454,2287,1421,2370,1298,982,1114,1386,1013,557,2158,893,1647,1013,894,1818,2821,1120,1312,1306,3740,665,1385,2701,1689,1466,1430,2192,2605,1962,2394,1590,1403,2190,1836,1328,536,1786,1008,1659,959,784,991,1212,821,1296,896,1392,1821,1494,1243,792,1251,578,1030,2217,581,809,1567,1970,1164,1081,1653,1976,0,1325,1097,530,0,0
20210204_MNSC511_SS8614_S11_R1_001_F7,0,158713,1771,1274,683,819,1854,3075,1851,3189,1878,3194,1732,1225,1597,1858,1349,735,2794,1184,2223,1332,1237,2427,3799,1369,1725,1636,5136,938,1884,3511,2103,1953,1880,3006,3581,2411,3186,2212,1842,2872,2474,1731,792,2258,1320,2193,1367,1044,1326,1646,1073,1698,1175,1789,2472,1946,1721,1049,1677,692,1434,2999,828,1010,2190,2491,1245,1413,2218,2682,0,1634,1470,743,0,0
20210204_MNSC511_SS8614_S11_R1_001_F8,0,22536,1,0,0,0,2,8,3,1,4,3,1,0,2,1,1,0,5,0,3,2,0,1,2,3,0,1,2,3,0,1,2,1,1,1,3,2,2,0,2,0,2,0,0,2,0,0,6,1,2,1,0,2,4,0,0,0,3,0,1,1,0,3,2,2,5,0,0,1,0,3,0,0,4,0,0,0
20210204_MNSC511_SS8614_S11_R1_001_unknown,2,6198,523,392,291,253,523,851,595,1042,593,992,578,447,522,709,520,313,969,430,725,424,396,815,1389,414,613,595,1758,301,647,1179,755,680,635,946,1071,855,947,740,628,922,794,552,234,766,455,780,484,371,458,559,363,614,358,646,738,649,543,340,548,229,452,866,252,305,664,844,433,427,726,895,6,551,453,197,23,4
20210204_MNSC512_SS8614_S12_R1_001_F1,0,69690,110,103,119,64,106,193,115,119,105,135,102,135,114,141,76,63,213,54,121,67,56,118,179,95,79,81,171,84,73,143,154,135,146,132,165,117,139,99,91,166,134,74,60,117,135,111,165,78,67,105,55,196,62,129,163,97,112,73,77,61,117,137,77,48,124,133,69,134,126,129,0,81,99,52,0,0
20210204_MNSC512_SS8614_S12_R1_001_F2,1414,547164,6274,5742,6771,3689,6526,10824,7620,7840,6490,8663,6204,6178,6620,7317,4506,3167,12342,3794,7767,4187,3462,7420,10224,5412,4558,4964,11941,5491,4198,8060,8481,7483,7620,9342,9916,7561,7641,6082,5356,7268,7412,5841,3568,5449,7453,7157,9268,4640,3463,6591,3747,10817,4160,6312,9243,6265,5366,4631,4257,3334,6470,8189,5028,2664,6041,7795,4400,8430,7614,8365,0,4111,6635,3223,0,0
20210204_MNSC512_SS8614_S12_R1_001_F3,0,475538,5373,5449,6077,3501,5794,9583,6433,6854,5654,7618,5629,5353,5872,6351,4016,2981,11214,3617,6779,3666,2807,6689,9281,4840,4317,4267,10727,4910,3694,6759,7230,6598,6656,8064,8624,7217,6684,5373,4598,6658,6411,5078,3240,5055,6424,6769,7820,4302,3343,5974,3361,9402,3722,5673,8521,5702,4843,3913,3716,3065,5856,7384,4331,2447,5427,7001,3769,7379,7067,7013,0,3798,5847,2697,0,0
